TextID,Langauage,Mission,TextType,Speaker,Text,Info
Txt_KR_M02_01,KR,Mission02,Dialogue,Victor,쥐새끼가 정보를 가져왔다. 죄수 놈들이 감방 안에 무기를 숨겨 놨다는군.,(브리핑)교도소장 대사 텍스트 1
Txt_KR_M02_02,KR,Mission02,Dialogue,Victor,밖에서도 사고 쳐서 들어온 놈들이 또 무기로 사고를 치려고 해?,(브리핑)교도소장 대사 텍스트 2
Txt_KR_M02_03,KR,Mission02,Dialogue,Victor,그렇게는 못 두지,(브리핑)교도소장 대사 텍스트 3
Txt_KR_M02_04,KR,Mission02,Dialogue,Victor,감방을 샅샅이 뒤져서 전부 압수해 와.,(브리핑)교도소장 대사 텍스트 4
Txt_KR_M02_05,KR,Mission02,UI,UI,죄수들이 감방에 숨겨 놓은 무기를 전부 압수하자,오늘의 미션 UI 텍스트
Txt_KR_M02_06,KR,Mission02,UI,UI,압수한 무기,미션 진행도 UI 텍스트
Txt_KR_M02_07,KR,Mission02,Dialogue,Victor,무기를 전부 찾았나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M02_08,KR,Mission02,Dialogue,Victor,"어휴, 적어도 오늘은 무기 때문에 사고날 일은 없겠군.",(정산)교도소장 대사 성공 텍스트
Txt_KR_M02_09,KR,Mission02,Dialogue,Victor,자네가 놓친 무기 때문에 죄수 한명이 실려나갔어! 자네는 해고일세.,(정산)교도소장 대사 실패 텍스트
Txt_KR_M03_01,KR,Mission03,Dialogue,Victor,이 빌어먹을 7구역에는 대체 무슨 문제가 있는 걸까?,(브리핑)교도소장 대사 텍스트 1
Txt_KR_M03_02,KR,Mission03,Dialogue,Victor,교도소에 들어오자마자 허튼 짓거리를 하는 놈들이 많단 말이지.,(브리핑)교도소장 대사 텍스트 2
Txt_KR_M03_03,KR,Mission03,Dialogue,Victor,오늘 새로 들어온 놈들도 마찬가지다. 분위기 못 읽고 이상한 짓거리를 하는 놈들이 있을 게 분명해.,(브리핑)교도소장 대사 텍스트 3
Txt_KR_M03_04,KR,Mission03,Dialogue,Victor,"교도소를 순찰하면서, 이상한 짓거리를 하는 놈들이 있으면 전부 두들겨 패고 와.",(브리핑)교도소장 대사 텍스트 4
Txt_KR_M03_05,KR,Mission03,UI,UI,이상한 행동을 하는 죄수들을 전부 진압하라!,오늘의 미션 UI 텍스트
Txt_KR_M03_06,KR,Mission03,UI,UI,이상한 행동을 하는 죄수,미션 진행도 UI 텍스트
Txt_KR_M03_07,KR,Mission03,Dialogue,Victor,이상한 죄수들은 전부 두들겨 패고 왔나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M03_08,KR,Mission03,Dialogue,Victor,생각보다 싸움 좀 하는군?,(정산)교도소장 대사 성공 텍스트
Txt_KR_M03_09,KR,Mission03,Dialogue,Victor,맛이 간 놈들만 두들겨 패고 오라는 게 그렇게 어려웠나? 자네는 해고일세!,(정산)교도소장 대사 실패 텍스트
Txt_KR_M04_01,KR,Mission04,Dialogue,Victor,벌써 자네가 출근할 시간인가? 아직 프랭크가 안 왔는데?,(브리핑)교도소장 대사 텍스트 1
Txt_KR_M04_02,KR,Mission04,Dialogue,Victor,"이거 이상하군. 자네, 프랭크가 어디 갔는지 아나?",(브리핑)교도소장 대사 텍스트 2
Txt_KR_M04_03,KR,Mission04,Dialogue,Victor,"분명 아까 순찰하러 갔는데, 아직도 돌아오지 않았다니.",(브리핑)교도소장 대사 텍스트 3
Txt_KR_M04_04,KR,Mission04,Dialogue,Victor,교도소로 내려가서 프랭크를 찾아보게.,(브리핑)교도소장 대사 텍스트 4
Txt_KR_M04_05,KR,Mission04,UI,UI,선임 교도관 '프랭크'를 찾기,오늘의 미션 UI 텍스트
Txt_KR_M04_06,KR,Mission04,UI,UI,가짜 '프랭크'를 진압하기,미션 진행도 UI 텍스트
Txt_KR_M04_07,KR,Mission04,Dialogue,Victor,프랭크를 찾았나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M04_08,KR,Mission04,Dialogue,Victor,뭐? 죄수들이 프랭크로 변장하고 있었다고? 이제는 별 짓을 다 하는군.,(정산)교도소장 대사 성공 텍스트
Txt_KR_M04_09,KR,Mission04,Dialogue,Victor,뭐? 죄수랑 프랭크를 헷갈렸다고? 자네 눈은 장식인가? 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
Txt_KR_M04_10,KR,Mission04,Dialogue,Frank,"조금만 늦었어도 내 머리통이 날아갈 뻔했다. 다행히 눈치는 챙겼나 봐, 신참?",가짜 프랭크 진압 성공 텍스트
Txt_KR_M04_11,KR,Mission04,Dialogue,Frank,너 지금 누굴 때리는 거야 멍청아!,가짜 프랭크 진압 실패 텍스트
Txt_KR_M05_01,KR,Mission05,Dialogue,Victor,슬슬 소지품 검사를 할 때가 됐나?,(브리핑)교도소장 대사 텍스트 1
Txt_KR_M05_02,KR,Mission05,Dialogue,Victor,아까 보니까 교도소 안에 있어서는 안 될 것들이 돌아다니더란 말이지.,(브리핑)교도소장 대사 텍스트 2
Txt_KR_M05_03,KR,Mission05,Dialogue,Victor,이것들이 나를 아주 우습게 아는 모양이야.,(브리핑)교도소장 대사 텍스트 3
Txt_KR_M05_04,KR,Mission05,Dialogue,Victor,교도소에 있어서는 안 될 물품들을 전부 압수하고 와!,(브리핑)교도소장 대사 텍스트 4
Txt_KR_M05_05,KR,Mission05,UI,UI,죄수들이 숨겨둔 금지 물품들을 전부 압수하자!,오늘의 미션 UI 텍스트
Txt_KR_M05_06,KR,Mission05,UI,UI,압수한 물품,미션 진행도 UI 텍스트
Txt_KR_M05_07,KR,Mission05,Dialogue,Victor,죄수들이 숨겨둔 금지 물품들은 찾았나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M05_08,KR,Mission05,Dialogue,Victor,"정말이지, 어디서 계속 들여오는 건지 모르겠어.",(정산)교도소장 대사 성공 텍스트
Txt_KR_M05_09,KR,Mission05,Dialogue,Victor,자네 같은 교도관들 때문에 죄수들이 나를 만만하게 보는 거겠지. 무능한 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
Txt_KR_M06_01,KR,Mission06,Dialogue,Victor,"제정신이 아니군, 제정신이 아니야.",(브리핑)교도소장 대사 텍스트 1
Txt_KR_M06_02,KR,Mission07,Dialogue,Victor,"제 7구역에 수감 중인 갱 놈들 중 한 명이 교도소에 총기를 밀반입하려다 걸린 후, 도망쳤다.",(브리핑)교도소장 대사 텍스트 2
Txt_KR_M06_03,KR,Mission08,Dialogue,Victor,"용의자 3명 중 1명이 범인인 건 확실한데, 죄다 비슷하게 생겨서 누가 범인인지 알 수 없단 말이지.",(브리핑)교도소장 대사 텍스트 3
Txt_KR_M06_04,KR,Mission09,Dialogue,Victor,"죄수들은 누가 범인인지 알고 있겠지. 죄수들을 협박하든, 설득하든 해서 진짜 범인을 찾아내!",(브리핑)교도소장 대사 텍스트 4
Txt_KR_M06_05,KR,Mission10,UI,UI,"죄수들을 심문하여 범인을 찾고, 선임 교도관에게 범인을 전달하라!",오늘의 미션 UI 텍스트
Txt_KR_M06_06,KR,Mission11,UI,UI,범인 결정,미션 진행도 UI 텍스트
Txt_KR_M06_07,KR,Mission12,Dialogue,Victor,범인은 찾았나?,(정산)교도소장 대사 공통 텍스트
Txt_KR_M06_08,KR,Mission13,Dialogue,Victor,"감히 신성한 교도소 안에 총기를 들이다니, 내가 직접 교육하도록 하겠어.",(정산)교도소장 대사 성공 텍스트
Txt_KR_M06_09,KR,Mission14,Dialogue,Victor,자네의 추리는 틀렸어! 또 총기가 발견됐다고! 이렇게 헛다리를 짚다니. 자네는 해고야!,(정산)교도소장 대사 실패 텍스트
Txt_KR_M06_10,KR,Mission15,Dialogue,Frank,"그래, 범인이 누구인지 알겠나?",범인 결정 시 프랭크 텍스트
Txt_KR_M06_11,KR,Mission16,Choice,Player,범인은 안토니다.,범인 결정 시 선택지 텍스트 1
Txt_KR_M06_12,KR,Mission17,Choice,Player,범인은 리차드다,범인 결정 시 선택지 텍스트 2
Txt_KR_M06_13,KR,Mission18,Choice,Player,범인은 레오다,범인 결정 시 선택지 텍스트 3
Txt_KR_M06_14,KR,Mission06,Dialogue,Nick,내가 얘기해줄 거 같아?,닉(증인 1) 증언 텍스트
Txt_KR_M06_15,KR,Mission06,Dialogue,Player,범인에 대해 이야기하지 않으면 때리겠다.,닉(증인 1) 증언 텍스트
Txt_KR_M06_16,KR,Mission06,Dialogue,Nick,Suspect3가 세탁실로 들어가는 걸 봤다 정도는 얘기해줘도 되겠지?,닉(증인 1) 증언 텍스트
Txt_KR_M06_17,KR,Mission06,Dialogue,Player,Suspect3가 세탁실로 들어갔다고?,닉(증인 1) 증언 텍스트
Txt_KR_M06_18,KR,Mission06,Dialogue,Nick,누가 범인인지 얘기하는 게 아니잖아. 그렇지?,닉(증인 1) 증언 텍스트
Txt_KR_M06_19,KR,Mission06,Dialogue,Bob,"글쎄, 어제 갱단원 중 누군가가 정비소 근처에 있는 걸 본 것 같기도 하고?",밥(증인 2) 증언 텍스트
Txt_KR_M06_20,KR,Mission06,Dialogue,Player,이미 알고 있는 내용이다. 다른 얘기를 해봐.,밥(증인 2) 증언 텍스트
Txt_KR_M06_21,KR,Mission06,Dialogue,Bob,(조용히)총기를 밀반입한 그 놈은 머리가 아주 짧아,밥(증인 2) 증언 텍스트
Txt_KR_M06_22,KR,Mission06,Dialogue,Player,"머리가 짧고, 또?",밥(증인 2) 증언 텍스트
Txt_KR_M06_23,KR,Mission06,Dialogue,Bob,(조용히)그 이상은 못 말해줘,밥(증인 2) 증언 텍스트
Txt_KR_M06_24,KR,Mission06,Dialogue,Jerry,총? 그런 건 모르겠고 톰이나 어떻게 해봐. 매일 나를 괴롭힌다고.,제리(증인 3) 증언 텍스트
Txt_KR_M06_25,KR,Mission06,Dialogue,Player,톰? 톰은 왜?,제리(증인 3) 증언 텍스트
Txt_KR_M06_26,KR,Mission06,Dialogue,Jerry,어제도 톰을 피해서 정비소 근처에 숨어 있다가 Suspect1와 Suspect2를 봤어,제리(증인 3) 증언 텍스트
Txt_KR_M06_27,KR,Mission06,Dialogue,Player,Suspect1와 Suspect2가 같이 움직였나? 두 사람은 뭘 하고 있었지?,제리(증인 3) 증언 텍스트
Txt_KR_M06_28,KR,Mission06,Dialogue,Jerry,"서로 다른 시간대에 봤는데, 두 놈이 각자 뭘 했는지는 나도 몰라",제리(증인 3) 증언 텍스트
Txt_KR_M06_29,KR,Mission06,Dialogue,Joe,"어제 뭘 하고 있었냐고 물어보면, 어제는 가슴을 했지.",조(증인 4) 증언 텍스트
Txt_KR_M06_30,KR,Mission06,Dialogue,Player,가슴?,조(증인 4) 증언 텍스트
Txt_KR_M06_31,KR,Mission06,Dialogue,Joe,남자는 가슴이라고. 어제 Suspect2도 나랑 같이 운동을 했어.,조(증인 4) 증언 텍스트
Txt_KR_M06_32,KR,Mission06,Dialogue,Player,둘이 무슨 대화를 했지?,조(증인 4) 증언 텍스트
Txt_KR_M06_33,KR,Mission06,Dialogue,Joe,"Suspect2에게 몸을 좀 더 키워야 할 거 같다고 했더니, 화를 내더라고",조(증인 4) 증언 텍스트
Txt_KR_M06_34,KR,Mission06,Dialogue,Tom,정비소 근처에서 돌아다니는 갱단원을 본 적 있냐고?,톰(증인 5) 증언 텍스트
Txt_KR_M06_35,KR,Mission06,Dialogue,Player,"그래, 수상한 놈은 없었나?",톰(증인 5) 증언 텍스트
Txt_KR_M06_36,KR,Mission06,Dialogue,Tom,"정비소라, 운동장 근처에 정비소가 있기는 하지.",톰(증인 5) 증언 텍스트
Txt_KR_M06_37,KR,Mission06,Dialogue,Player,누가 범인인지 봤군?,톰(증인 5) 증언 텍스트
Txt_KR_M06_38,KR,Mission06,Dialogue,Tom,내가 본 녀석은 옷을 입어도 가릴 수 없는 곳에 문신을 새겨뒀어. 목이나 가슴처럼.,톰(증인 5) 증언 텍스트
Txt_KR_M06_39,KR,Mission06,Dialogue,Dave,밀반입? 그게 7구역에서 하루 이틀인가?,데이브(증인 6) 증언 텍스트
Txt_KR_M06_40,KR,Mission06,Dialogue,Player,일반적인 밀반입이 아니라 총기 밀반입이다. 심각한 문제라고.,데이브(증인 6) 증언 텍스트
Txt_KR_M06_41,KR,Mission06,Dialogue,Dave,그런 시답잖은 일 말고 내 근육이나 구경하라고. 아름답지?,데이브(증인 6) 증언 텍스트
Txt_KR_M06_42,KR,Mission06,Dialogue,Player,범인에 대한 정보나 제공해라.,데이브(증인 6) 증언 텍스트
Txt_KR_M06_43,KR,Mission06,Dialogue,Dave,"아무래도 총을 쏘려면, 눈이 멀쩡해야지. 눈에 흉터 따위는 없을 거야.",데이브(증인 6) 증언 텍스트
Txt_KR_M06_44,KR,Mission06,Dialogue,Chris,감옥에서 같은 죄수를 밀고한 놈들이 어떻게 되는지 아나?,크리스(증인 7) 증언 텍스트
Txt_KR_M06_45,KR,Mission06,Dialogue,Player,어떻게 되는데?,크리스(증인 7) 증언 텍스트
Txt_KR_M06_46,KR,Mission06,Dialogue,Chris,끔찍하게 살해 당한다. 배신자라고.,크리스(증인 7) 증언 텍스트
Txt_KR_M06_47,KR,Mission06,Dialogue,Player,우리가 보호해줄 수 있어.,크리스(증인 7) 증언 텍스트
Txt_KR_M06_48,KR,Mission06,Dialogue,Chris,사기꾼에게 사기를 치려고 하는군. 내가 말해줄 수 있는 건 없어.,크리스(증인 7) 증언 텍스트
Txt_KR_M06_49,KR,Mission06,Dialogue,Mike,내가 총기에 관해 조금 아는 게 있는데 말이야.,마이크(증인 8) 증언 텍스트
Txt_KR_M06_50,KR,Mission06,Dialogue,Player,뭐지?,마이크(증인 8) 증언 텍스트
Txt_KR_M06_51,KR,Mission06,Dialogue,Mike,전갈 갱단 놈들은 총기를 손질할 때 파란색 오일을 사용해.,마이크(증인 8) 증언 텍스트
Txt_KR_M06_52,KR,Mission06,Dialogue,Player,파란색?,마이크(증인 8) 증언 텍스트
Txt_KR_M06_53,KR,Mission06,Dialogue,Mike,어쩌면 그 흔적이 범인한테 남아 있을지도 모르지.,마이크(증인 8) 증언 텍스트
Txt_KR_M06_54,KR,Mission06,Dialogue,Paul,어제는 하루 종일 책을 읽고 있었기 때문에 정비소에서 무슨 일이 있었는지 몰라.,폴(증인 9) 증언 텍스트
Txt_KR_M06_55,KR,Mission06,Dialogue,Player,범인에 대해 아는 게 없나?,폴(증인 9) 증언 텍스트
Txt_KR_M06_56,KR,Mission06,Dialogue,Paul,"하지만, 어제 급하게 달려가던 갱단원과 부딪힌 기억이 있기는 해.",폴(증인 9) 증언 텍스트
Txt_KR_M06_57,KR,Mission06,Dialogue,Player,어떤 녀석이었지?,폴(증인 9) 증언 텍스트
Txt_KR_M06_58,KR,Mission06,Dialogue,Paul,"삭발한 머리였던 거 같기도 하고, 아닌 거 같기도 하고.",폴(증인 9) 증언 텍스트
Txt_KR_M06_59,KR,Mission06,Dialogue,Suspect1,"내가 평상시에 정비소에서 일하기는 하지만, 어제는 정비소 근처에도 안 갔어.",용의자 1 변명 텍스트
Txt_KR_M06_60,KR,Mission06,Dialogue,Player,그러면 뭘 했지?,용의자 1 변명 텍스트
Txt_KR_M06_61,KR,Mission06,Dialogue,Suspect1,어제는 몸이 안 좋아서 그냥 감방에서 쉬었다고.,용의자 1 변명 텍스트
Txt_KR_M06_62,KR,Mission06,Dialogue,Suspect2,난 어제 운동장에서 벤치 프레스만 했어. 기록 갱신에 실패했지.,용의자 2 변명 텍스트
Txt_KR_M06_63,KR,Mission06,Dialogue,Player,너의 운동 메이트는 누구였지?,용의자 2 변명 텍스트
Txt_KR_M06_64,KR,Mission06,Dialogue,Suspect2,덩치 큰 조한테 물어봐. 내 숫자를 세준 게 그 놈이니까.,용의자 2 변명 텍스트
Txt_KR_M06_65,KR,Mission06,Dialogue,Suspect3,난 어제 정비소 근처에도 간 적 없어. 종일 세탁실에서 일했다고.,용의자 3 변명 텍스트
Txt_KR_M06_66,KR,Mission06,Dialogue,Player,그걸 증명해줄 수 있는 사람이 있나?,용의자 3 변명 텍스트
Txt_KR_M06_67,KR,Mission06,Dialogue,Suspect3,분명 누군가는 내가 세탁소에서 일하는 걸 봤을걸?,용의자 3 변명 텍스트
